unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,message
823509,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313.0,Coney Island (CD13),Winter 2021-22,2021-12-01T00:00:00.000,6.6,
823503,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,311.0,Bensonhurst (CD11),Winter 2021-22,2021-12-01T00:00:00.000,6.7,
825910,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301.0,Washington Heights,Winter 2021-22,2021-12-01T00:00:00.000,21.2,
823425,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,207.0,East Flatbush - Flatbush,Winter 2021-22,2021-12-01T00:00:00.000,6.7,
823326,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101.0,Kingsbridge - Riverdale,Winter 2021-22,2021-12-01T00:00:00.000,7.2,
825877,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,410.0,Rockaways,Winter 2021-22,2021-12-01T00:00:00.000,15.7,
825758,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207.0,East Flatbush - Flatbush,Winter 2021-22,2021-12-01T00:00:00.000,20.9,
823356,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107.0,South Bronx,Winter 2021-22,2021-12-01T00:00:00.000,7.2,
823290,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,206.0,Borough Park,Winter 2021-22,2021-12-01T00:00:00.000,6.8,
825874,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,305307.0,Upper East Side-Gramercy,Winter 2021-22,2021-12-01T00:00:00.000,25.1,
825773,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202.0,Downtown - Heights - Slope,Winter 2021-22,2021-12-01T00:00:00.000,23.3,
825931,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205.0,Sunset Park,Winter 2021-22,2021-12-01T00:00:00.000,23.1,
825989,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501.0,Port Richmond,Winter 2021-22,2021-12-01T00:00:00.000,18.4,
823518,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,316.0,Brownsville (CD16),Winter 2021-22,2021-12-01T00:00:00.000,6.8,
823374,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307.0,Upper East Side-Gramercy,Winter 2021-22,2021-12-01T00:00:00.000,7.9,
826072,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Winter 2021-22,2021-12-01T00:00:00.000,18.8,
826027,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211.0,Morris Park and Bronxdale (CD11),Winter 2021-22,2021-12-01T00:00:00.000,21.5,
823184,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,211.0,Morris Park and Bronxdale (CD11),Winter 2021-22,2021-12-01T00:00:00.000,7.3,
